date,name,relative_popularity,nationality,page_views,edits
2016-04-30,A. R. Rahman,34.0,IN-TN,102829,14
2016-05-31,A. R. Rahman,35.0,IN-TN,117507,18
2016-06-30,A. R. Rahman,38.0,IN-TN,163587,9
2016-07-31,A. R. Rahman,61.0,IN-TN,104653,3
2016-08-31,A. R. Rahman,52.25,IN-TN,92110,7
2016-09-30,A. R. Rahman,38.75,IN-TN,98281,1
2016-10-31,A. R. Rahman,36.2,IN-TN,111131,4
2016-11-30,A. R. Rahman,41.0,IN-TN,102752,1
2016-12-31,A. R. Rahman,44.5,IN-TN,100540,8
2017-01-31,A. R. Rahman,58.2,IN-TN,169563,5
2017-02-28,A. R. Rahman,47.5,IN-TN,137162,3
2017-03-31,A. R. Rahman,42.0,IN-TN,112267,5
2017-04-30,A. R. Rahman,40.2,IN-TN,111106,3
2017-05-31,A. R. Rahman,38.75,IN-TN,129774,7
2017-06-30,A. R. Rahman,37.5,IN-TN,98715,15
2017-07-31,A. R. Rahman,50.6,IN-TN,103385,26
2017-08-31,A. R. Rahman,50.0,IN-TN,95689,17
2017-09-30,A. R. Rahman,35.5,IN-TN,158950,17
2017-10-31,A. R. Rahman,36.6,IN-TN,190807,42
2017-11-30,A. R. Rahman,37.5,IN-TN,160747,27
2017-12-31,A. R. Rahman,41.6,IN-TN,115970,13
2018-01-31,A. R. Rahman,42.0,IN-TN,108942,53
2018-02-28,A. R. Rahman,34.0,IN-TN,98114,23
2018-03-31,A. R. Rahman,37.0,IN-TN,101337,18
2018-04-30,A. R. Rahman,33.0,IN-TN,97413,24
2018-05-31,A. R. Rahman,36.25,IN-TN,109373,10
2018-06-30,A. R. Rahman,34.75,IN-TN,129262,10
2018-07-31,A. R. Rahman,41.8,IN-TN,112112,3
2018-08-31,A. R. Rahman,51.0,IN-TN,113545,20
2018-09-30,A. R. Rahman,42.2,IN-TN,95783,31
2018-10-31,A. R. Rahman,43.5,IN-TN,114436,18
2018-11-30,A. R. Rahman,38.25,IN-TN,107353,3
2018-12-31,A. R. Rahman,41.2,IN-TN,131792,29
2019-01-31,A. R. Rahman,45.5,IN-TN,102640,19
2019-02-28,A. R. Rahman,55.75,IN-TN,96370,14
2019-03-31,A. R. Rahman,36.8,IN-TN,96316,16
2019-04-30,A. R. Rahman,28.25,IN-TN,96043,11
2019-05-31,A. R. Rahman,25.0,IN-TN,113886,9
2019-06-30,A. R. Rahman,24.8,IN-TN,105730,17
2019-07-31,A. R. Rahman,29.0,IN-TN,118977,15
2019-08-31,A. R. Rahman,32.5,IN-TN,103510,62
2019-09-30,A. R. Rahman,24.8,IN-TN,149415,19
2019-10-31,A. R. Rahman,27.5,IN-TN,183433,22
2019-11-30,A. R. Rahman,26.0,IN-TN,121530,22
2019-12-31,A. R. Rahman,23.4,IN-TN,142701,12
2020-01-31,A. R. Rahman,32.75,IN-TN,134023,22
2020-02-29,A. R. Rahman,29.25,IN-TN,115890,27
2020-03-31,A. R. Rahman,21.4,IN-TN,115202,7
2020-04-30,A. R. Rahman,26.5,IN-TN,111881,22
2020-05-31,A. R. Rahman,21.6,IN-TN,113647,22
2020-06-30,A. R. Rahman,24.5,IN-TN,119279,13
2020-07-31,A. R. Rahman,35.5,IN-TN,123738,24
2020-08-31,A. R. Rahman,28.0,IN-TN,137499,13
2020-09-30,A. R. Rahman,23.25,IN-TN,110916,14
2020-10-31,A. R. Rahman,18.0,IN-TN,93469,23
2020-11-30,A. R. Rahman,17.8,IN-TN,71185,14
2020-12-31,A. R. Rahman,25.75,IN-TN,77617,1
